"item_name","category","subcategory","item_type","brand","compatible_models","sku","selling_price","minimum_selling_price","cost_price","quantity","minimum_stock","supplier","shelf_location","notes","image_url"
"iPhone 6 Back Glass","Phone Parts","Back Glass","part","Apple","iPhone 6","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/iPhone_6_(back).jpg"
"iPhone 6 Charging Flex","Phone Parts","Charging Port","part","Apple","iPhone 6","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/iPhone_6_(back).jpg"
"iPhone 6 Screen Guard","Gadgets & Accessories","Screen Protector","accessory","Apple","iPhone 6","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/iPhone_6_(back).jpg"
"iPhone 6 Plus Back Glass","Phone Parts","Back Glass","part","Apple","iPhone 6 Plus","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/iPhone_6_(back).jpg"
"iPhone 6 Plus Charging Flex","Phone Parts","Charging Port","part","Apple","iPhone 6 Plus","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/iPhone_6_(back).jpg"
"iPhone 6 Plus Screen Guard","Gadgets & Accessories","Screen Protector","accessory","Apple","iPhone 6 Plus","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/iPhone_6_(back).jpg"
"iPhone 6s Back Glass","Phone Parts","Back Glass","part","Apple","iPhone 6s","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/IPhone_6s_(Oct_1%2C_2025).jpg"
"iPhone 6s Charging Flex","Phone Parts","Charging Port","part","Apple","iPhone 6s","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/IPhone_6s_(Oct_1%2C_2025).jpg"
"iPhone 6s Screen Guard","Gadgets & Accessories","Screen Protector","accessory","Apple","iPhone 6s","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/IPhone_6s_(Oct_1%2C_2025).jpg"
"iPhone 6s Plus Back Glass","Phone Parts","Back Glass","part","Apple","iPhone 6s Plus","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/IPhone_6s_(Oct_1%2C_2025).jpg"
"iPhone 6s Plus Charging Flex","Phone Parts","Charging Port","part","Apple","iPhone 6s Plus","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/IPhone_6s_(Oct_1%2C_2025).jpg"
"iPhone 6s Plus Screen Guard","Gadgets & Accessories","Screen Protector","accessory","Apple","iPhone 6s Plus","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/IPhone_6s_(Oct_1%2C_2025).jpg"
"iPhone SE (1st generation) Back Glass","Phone Parts","Back Glass","part","Apple","iPhone SE (1st generation)","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/iPhone_6_(back).jpg"
"iPhone SE (1st generation) Charging Flex","Phone Parts","Charging Port","part","Apple","iPhone SE (1st generation)","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/iPhone_6_(back).jpg"
"iPhone SE (1st generation) Screen Guard","Gadgets & Accessories","Screen Protector","accessory","Apple","iPhone SE (1st generation)","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/iPhone_6_(back).jpg"
"iPhone 7 Back Glass","Phone Parts","Back Glass","part","Apple","iPhone 7","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/IPhone_7_(2).jpg"
"iPhone 7 Charging Flex","Phone Parts","Charging Port","part","Apple","iPhone 7","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/IPhone_7_(2).jpg"
"iPhone 7 Screen Guard","Gadgets & Accessories","Screen Protector","accessory","Apple","iPhone 7","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/IPhone_7_(2).jpg"
"iPhone 7 Plus Back Glass","Phone Parts","Back Glass","part","Apple","iPhone 7 Plus","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/IPhone_7_(2).jpg"
"iPhone 7 Plus Charging Flex","Phone Parts","Charging Port","part","Apple","iPhone 7 Plus","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/IPhone_7_(2).jpg"
"iPhone 7 Plus Screen Guard","Gadgets & Accessories","Screen Protector","accessory","Apple","iPhone 7 Plus","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/IPhone_7_(2).jpg"
"iPhone 8 Back Glass","Phone Parts","Back Glass","part","Apple","iPhone 8","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/IPhone_8.png"
"iPhone 8 Charging Flex","Phone Parts","Charging Port","part","Apple","iPhone 8","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/IPhone_8.png"
"iPhone 8 Screen Guard","Gadgets & Accessories","Screen Protector","accessory","Apple","iPhone 8","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/IPhone_8.png"
"iPhone 8 Plus Back Glass","Phone Parts","Back Glass","part","Apple","iPhone 8 Plus","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/IPhone_8.png"
"iPhone 8 Plus Charging Flex","Phone Parts","Charging Port","part","Apple","iPhone 8 Plus","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/IPhone_8.png"
"iPhone 8 Plus Screen Guard","Gadgets & Accessories","Screen Protector","accessory","Apple","iPhone 8 Plus","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/IPhone_8.png"
"iPhone X Back Glass","Phone Parts","Back Glass","part","Apple","iPhone X","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/Apple_iPhone_X_-_back_(8111).jpg"
"iPhone X Charging Flex","Phone Parts","Charging Port","part","Apple","iPhone X","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/Apple_iPhone_X_-_back_(8111).jpg"
"iPhone X Screen Guard","Gadgets & Accessories","Screen Protector","accessory","Apple","iPhone X","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/Apple_iPhone_X_-_back_(8111).jpg"
"iPhone XR Back Glass","Phone Parts","Back Glass","part","Apple","iPhone XR","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/IPhone_XR.jpg"
"iPhone XR Charging Flex","Phone Parts","Charging Port","part","Apple","iPhone XR","","","","","","5","","","iPhone model reference image; fill actual price and opening stock before import.","https://commons.wikimedia.org/wiki/Special:FilePath/IPhone_XR.jpg"
